Fecha,Marina Fonatur,Porcentaje de ocupacion muelles y boyas,Porcentaje de ocupacion marina seca
2013-01,La Paz,34,77
2013-02,La Paz,39,73
2013-03,La Paz,42,75
2013-04,La Paz,41,78
2013-05,La Paz,39,81
2013-06,La Paz,42,88
2013-07,La Paz,47,95
2013-08,La Paz,49,92
2013-09,La Paz,46,94
2013-10,La Paz,53,100
2013-11,La Paz,71,111
2013-12,La Paz,104,136
2014-01,La Paz,47,50
2014-02,La Paz,61,54
2014-03,La Paz,64,40
2014-04,La Paz,62,38
2014-05,La Paz,59,88
2014-06,La Paz,63,62
2014-07,La Paz,69,70
2014-08,La Paz,76,70
2014-09,La Paz,64,65
2014-10,La Paz,64,74
2014-11,La Paz,56,63
2014-12,La Paz,68,57
2015-01,La Paz,65,62
2015-02,La Paz,66,75
2015-03,La Paz,61,66
2015-04,La Paz,54,86
2015-05,La Paz,51,94
2015-06,La Paz,56,94
2015-07,La Paz,51,97
2015-08,La Paz,49,95
2015-09,La Paz,47,93
2015-10,La Paz,36,86
2015-11,La Paz,55,76
2015-10,La Paz,61,86
2013-01,Puerto Escondido,19,72
2013-02,Puerto Escondido,19,72
2013-03,Puerto Escondido,18,54
2013-04,Puerto Escondido,19,56
2013-05,Puerto Escondido,18,54
2013-06,Puerto Escondido,19,56
2013-07,Puerto Escondido,19,56
2013-08,Puerto Escondido,19,73
2013-09,Puerto Escondido,18,80
2013-10,Puerto Escondido,18,79
2013-11,Puerto Escondido,15,62
2013-12,Puerto Escondido,12,59
2014-01,Puerto Escondido,10,24
2014-02,Puerto Escondido,13,24
2014-03,Puerto Escondido,16,29
2014-04,Puerto Escondido,17,31
2014-05,Puerto Escondido,20,55
2014-06,Puerto Escondido,18,85
2014-07,Puerto Escondido,10,48
2014-08,Puerto Escondido,8,56
2014-09,Puerto Escondido,12,64
2014-10,Puerto Escondido,7,50
2014-11,Puerto Escondido,11,67
2014-12,Puerto Escondido,11,79
2015-01,Puerto Escondido,59,25
2015-02,Puerto Escondido,10,62
2015-03,Puerto Escondido,11,69
2015-04,Puerto Escondido,18,68
2015-05,Puerto Escondido,14,83
2015-06,Puerto Escondido,19,103
2015-07,Puerto Escondido,11,129
2015-08,Puerto Escondido,12,151
2015-09,Puerto Escondido,14,151
2015-10,Puerto Escondido,14,138
2015-11,Puerto Escondido,16,124
2015-12,Puerto Escondido,16,112
2013-01,Guaymas,25,22
2013-02,Guaymas,18,22
2013-03,Guaymas,18,14
2013-04,Guaymas,26,22
2013-05,Guaymas,24,17
2013-06,Guaymas,22,23
2013-07,Guaymas,19,0
2013-08,Guaymas,10,28
2013-09,Guaymas,16,26
2013-10,Guaymas,23,21
2013-11,Guaymas,17,19
2013-12,Guaymas,35,20
2014-01,Guaymas,37,21
2014-02,Guaymas,25,22
2014-03,Guaymas,28,19
2014-04,Guaymas,47,20
2014-05,Guaymas,48,9
2014-06,Guaymas,49,6
2014-07,Guaymas,41,7
2014-08,Guaymas,41,8
2014-09,Guaymas,41,7
2014-10,Guaymas,38,6
2014-11,Guaymas,39,5
2014-12,Guaymas,46,5
2015-01,Guaymas,46,6
2015-02,Guaymas,48,9
2015-03,Guaymas,31,4
2015-04,Guaymas,38,21
2015-05,Guaymas,41,42
2015-06,Guaymas,44,76
2015-07,Guaymas,49,98
2015-08,Guaymas,48,119
2015-09,Guaymas,37,131
2015-10,Guaymas,68,130
2015-11,Guaymas,48,62
2015-12,Guaymas,97,48
2013-01,Mazatlan,59,47
2013-02,Mazatlan,73,47
2013-03,Mazatlan,69,50
2013-04,Mazatlan,72,65
2013-05,Mazatlan,53,73
2013-06,Mazatlan,42,87
2013-07,Mazatlan,46,85
2013-08,Mazatlan,41,86
2013-09,Mazatlan,50,87
2013-10,Mazatlan,47,92
2013-11,Mazatlan,57,74
2013-12,Mazatlan,52,58
2014-01,Mazatlan,62,29
2014-02,Mazatlan,49,38
2014-03,Mazatlan,55,42
2014-04,Mazatlan,53,57
2014-05,Mazatlan,68,84
2014-06,Mazatlan,70,100
2014-07,Mazatlan,47,100
2014-08,Mazatlan,39,82
2014-09,Mazatlan,33,100
2014-10,Mazatlan,49,89
2014-11,Mazatlan,69,85
2014-12,Mazatlan,72,78
2015-01,Mazatlan,43,25
2015-02,Mazatlan,79,79
2015-03,Mazatlan,76,74
2015-04,Mazatlan,96,90
2015-05,Mazatlan,79,100
2015-06,Mazatlan,68,100
2015-07,Mazatlan,75,120
2015-08,Mazatlan,76,123
2015-09,Mazatlan,76,117
2015-10,Mazatlan,85,126
2015-11,Mazatlan,103,105
2015-12,Mazatlan,100,86
2013-01,San Blas,20,44
2013-02,San Blas,22,31
2013-03,San Blas,15,44
2013-04,San Blas,20,52
2013-05,San Blas,22,48
2013-06,San Blas,13,50
2013-07,San Blas,12,43
2013-08,San Blas,15,48
2013-09,San Blas,15,48
2013-10,San Blas,17,48
2013-11,San Blas,13,2
2013-12,San Blas,16,44
2014-01,San Blas,26,33
2014-02,San Blas,8,29
2014-03,San Blas,22,16
2014-04,San Blas,20,22
2014-05,San Blas,25,19
2014-06,San Blas,15,18
2014-07,San Blas,7,17
2014-08,San Blas,5,17
2014-09,San Blas,1,13
2014-10,San Blas,0,16
2014-11,San Blas,1,1
2014-12,San Blas,2,1
2015-01,San Blas,15,18
2015-02,San Blas,16,52
2015-03,San Blas,29,51
2015-04,San Blas,14,85
2015-05,San Blas,4,45
2015-06,San Blas,11,46
2015-07,San Blas,6,48
2015-08,San Blas,6,44
2015-09,San Blas,10,33
2015-10,San Blas,10,96
2015-11,San Blas,16,97
2015-12,San Blas,27,74
2013-01,Santa Rosalia,16,0
2013-02,Santa Rosalia,18,0
2013-03,Santa Rosalia,29,0
2013-04,Santa Rosalia,41,0
2013-05,Santa Rosalia,44,0
2013-06,Santa Rosalia,29,0
2013-07,Santa Rosalia,48,0
2013-08,Santa Rosalia,44,0
2013-09,Santa Rosalia,29,0
2013-10,Santa Rosalia,28,0
2013-11,Santa Rosalia,14,0
2013-12,Santa Rosalia,18,0
2014-01,Santa Rosalia,23,0
2014-02,Santa Rosalia,36,0
2014-03,Santa Rosalia,20,0
2014-04,Santa Rosalia,32,7
2014-05,Santa Rosalia,52,7
2014-06,Santa Rosalia,40,64
2014-07,Santa Rosalia,55,7
2014-08,Santa Rosalia,32,7
2014-09,Santa Rosalia,28,7
2014-10,Santa Rosalia,37,7
2014-11,Santa Rosalia,20,7
2014-12,Santa Rosalia,21,2
2015-01,Santa Rosalia,19,0
2015-02,Santa Rosalia,22,0
2015-03,Santa Rosalia,38,0
2015-04,Santa Rosalia,39,0
2015-05,Santa Rosalia,40,0
2015-06,Santa Rosalia,30,0
2015-07,Santa Rosalia,32,0
2015-08,Santa Rosalia,24,0
2015-09,Santa Rosalia,22,0
2015-10,Santa Rosalia,21,0
2015-11,Santa Rosalia,17,0
2015-12,Santa Rosalia,21,0
2013-01,San Felipe,13,0
2013-02,San Felipe,15,0
2013-03,San Felipe,18,0
2013-04,San Felipe,26,0
2013-05,San Felipe,25,0
2013-06,San Felipe,15,0
2013-07,San Felipe,20,0
2013-08,San Felipe,23,0
2013-09,San Felipe,28,0
2013-10,San Felipe,37,0
2013-11,San Felipe,27,0
2013-12,San Felipe,0,0
2014-01,San Felipe,7,0
2014-02,San Felipe,41,0
2014-03,San Felipe,64,0
2014-04,San Felipe,71,0
2014-05,San Felipe,51,0
2014-06,San Felipe,45,0
2014-07,San Felipe,55,0
2014-08,San Felipe,48,0
2014-09,San Felipe,67,0
2014-10,San Felipe,48,0
2014-11,San Felipe,1,0
2014-12,San Felipe,1,0
2015-01,San Felipe,34,0
2015-02,San Felipe,36,0
2015-03,San Felipe,47,0
2015-04,San Felipe,34,0
2015-05,San Felipe,37,0
2015-06,San Felipe,42,0
2015-07,San Felipe,46,0
2015-08,San Felipe,52,0
2015-09,San Felipe,60,0
2015-10,San Felipe,60,
2015-11,San Felipe,51,
2015-12,San Felipe,47,
2013-01,Puerto Penasco,40,0
2013-02,Puerto Penasco,40,0
2013-03,Puerto Penasco,39,0
2013-04,Puerto Penasco,40,0
2013-05,Puerto Penasco,39,0
2013-06,Puerto Penasco,48,0
2013-07,Puerto Penasco,45,0
2013-08,Puerto Penasco,45,0
2013-09,Puerto Penasco,27,0
2013-10,Puerto Penasco,37,0
2013-11,Puerto Penasco,0,0
2013-12,Puerto Penasco,1,0
2014-01,Puerto Penasco,37,0
2014-02,Puerto Penasco,27,0
2014-03,Puerto Penasco,45,0
2014-04,Puerto Penasco,45,0
2014-05,Puerto Penasco,59,0
2014-06,Puerto Penasco,48,0
2014-07,Puerto Penasco,46,0
2014-08,Puerto Penasco,64,0
2014-09,Puerto Penasco,61,0
2014-10,Puerto Penasco,37,0
2014-11,Puerto Penasco,38,0
2014-12,Puerto Penasco,28,0
2015-01,Puerto Penasco,10,0
2015-02,Puerto Penasco,31,0
2015-03,Puerto Penasco,27,0
2015-04,Puerto Penasco,27,0
2015-05,Puerto Penasco,18,0
2015-06,Puerto Penasco,27,0
2015-07,Puerto Penasco,29,0
2015-08,Puerto Penasco,27,0
2015-09,Puerto Penasco,28,0
2015-10,Puerto Penasco,27,0
2015-11,Puerto Penasco,20,0
2015-12,Puerto Penasco,27,0
